,Quiescent,Active,Jailed,Speed of Rebellion Transmission,Seed
0,1134,0,0,0.0,3
1,1093,18,23,0.036155202821869487,3
2,952,119,62,0.12522045855379188,3
3,666,358,101,0.25485008818342153,3
4,633,351,146,0.03791887125220458,3
5,633,305,195,0.003527336860670194,3
6,633,256,239,0.0008818342151675485,3
7,633,212,278,0.005291005291005291,3
8,633,174,317,0.010582010582010581,3
9,636,131,355,0.010582010582010581,3
10,635,96,390,0.014991181657848324,3
11,659,36,424,0.02821869488536155,3
12,685,0,434,0.025573192239858905,3
13,700,0,413,0.013227513227513227,3
14,720,0,391,0.018518518518518517,3
15,741,0,375,0.020282186948853614,3
16,758,0,359,0.015873015873015872,3
17,774,0,342,0.014991181657848324,3
18,791,1,324,0.015873015873015872,3
19,805,0,311,0.015873015873015872,3
20,820,1,299,0.01763668430335097,3
21,833,1,278,0.012345679012345678,3
22,854,0,262,0.019400352733686066,3
23,869,0,253,0.015873015873015872,3
24,878,0,241,0.010582010582010581,3
25,892,0,223,0.013227513227513227,3
26,910,0,207,0.01675485008818342,3
27,924,1,184,0.014991181657848324,3
28,947,0,174,0.02292768959435626,3
29,959,0,155,0.01146384479717813,3
30,978,1,142,0.01763668430335097,3
31,990,0,130,0.01146384479717813,3
32,1002,0,113,0.012345679012345678,3
33,1019,0,103,0.01675485008818342,3
34,1030,0,92,0.010582010582010581,3
35,1042,0,72,0.010582010582010581,3
36,1061,0,50,0.01763668430335097,3
37,1083,0,40,0.020282186948853614,3
38,1094,0,34,0.009700176366843033,3
39,1100,0,27,0.005291005291005291,3
40,1104,0,24,0.006172839506172839,3
41,1108,0,23,0.005291005291005291,3
42,1109,0,24,0.0026455026455026454,3
43,1110,0,24,0.0008818342151675485,3
44,1109,1,22,0.0008818342151675485,3
45,1109,1,24,0.001763668430335097,3
46,1109,0,22,0.0,3
47,1109,2,21,0.0026455026455026454,3
48,1109,0,22,0.0026455026455026454,3
49,1110,0,22,0.0026455026455026454,3
50,1110,0,23,0.001763668430335097,3
51,1095,14,21,0.014109347442680775,3
52,894,178,58,0.18430335097001763,3
53,649,377,106,0.22486772486772486,3
54,633,346,147,0.01675485008818342,3
55,633,304,192,0.007054673721340388,3
56,633,261,232,0.006172839506172839,3
57,633,222,270,0.009700176366843033,3
58,633,183,305,0.009700176366843033,3
59,633,146,344,0.01146384479717813,3
60,636,105,372,0.013227513227513227,3
61,657,55,400,0.03439153439153439,3
62,684,10,423,0.03439153439153439,3
63,701,0,421,0.01763668430335097,3
64,711,0,405,0.010582010582010581,3
65,728,0,387,0.015873015873015872,3
66,743,1,373,0.01675485008818342,3
67,759,0,355,0.014991181657848324,3
68,779,0,340,0.01763668430335097,3
69,793,0,322,0.013227513227513227,3
70,811,0,301,0.01675485008818342,3
71,830,0,293,0.019400352733686066,3
72,839,0,281,0.009700176366843033,3
73,852,1,266,0.012345679012345678,3
74,866,0,250,0.013227513227513227,3
75,879,0,230,0.01675485008818342,3
76,901,2,216,0.02292768959435626,3
77,916,0,194,0.013227513227513227,3
78,938,0,176,0.021164021164021163,3
79,957,0,166,0.01763668430335097,3
80,967,0,147,0.010582010582010581,3
81,987,0,125,0.01763668430335097,3
82,1008,0,105,0.019400352733686066,3
83,1028,0,90,0.018518518518518517,3
84,1041,0,84,0.014991181657848324,3
85,1050,0,69,0.007936507936507936,3
86,1062,1,58,0.013227513227513227,3
87,1073,0,45,0.01146384479717813,3
88,1072,7,43,0.024691358024691357,3
89,1017,52,56,0.06966490299823633,3
90,745,284,97,0.25044091710758376,3
91,633,355,139,0.10670194003527336,3
92,633,312,182,0.006172839506172839,3
93,633,269,226,0.006172839506172839,3
94,633,227,267,0.007054673721340388,3
95,633,184,297,0.006172839506172839,3
96,636,151,342,0.019400352733686066,3
97,646,96,382,0.01146384479717813,3
98,669,36,409,0.025573192239858905,3
99,690,11,423,0.027336860670194002,3
100,698,0,416,0.012345679012345678,3
101,717,0,399,0.01763668430335097,3
102,733,0,385,0.015873015873015872,3
103,748,0,370,0.014109347442680775,3
104,763,0,353,0.014109347442680775,3
105,780,0,334,0.015873015873015872,3
106,800,0,322,0.01763668430335097,3
107,812,0,302,0.010582010582010581,3
108,830,0,288,0.01763668430335097,3
109,846,0,270,0.014109347442680775,3
110,862,1,252,0.015873015873015872,3
111,880,0,241,0.01675485008818342,3
112,893,0,222,0.01146384479717813,3
113,909,1,208,0.01675485008818342,3
114,922,0,187,0.014991181657848324,3
115,944,0,169,0.02204585537918871,3
116,964,0,152,0.018518518518518517,3
117,980,0,135,0.015873015873015872,3
118,997,0,119,0.01675485008818342,3
119,1014,0,96,0.015873015873015872,3
120,1037,0,79,0.021164021164021163,3
121,1031,14,74,0.03439153439153439,3
122,951,76,94,0.09347442680776014,3
123,748,244,127,0.19753086419753085,3
124,633,325,166,0.11552028218694885,3
125,633,286,202,0.009700176366843033,3
126,633,249,235,0.01146384479717813,3
127,633,216,268,0.014991181657848324,3
128,633,184,302,0.015873015873015872,3
129,635,148,339,0.015873015873015872,3
130,646,99,376,0.019400352733686066,3
131,650,58,406,0.018518518518518517,3
132,684,7,425,0.036155202821869487,3
133,703,0,410,0.01675485008818342,3
134,722,0,391,0.018518518518518517,3
135,741,0,372,0.018518518518518517,3
136,761,0,352,0.018518518518518517,3
137,781,0,329,0.018518518518518517,3
138,796,2,326,0.026455026455026454,3
139,805,0,309,0.008818342151675485,3
140,824,0,289,0.01763668430335097,3
141,845,0,272,0.018518518518518517,3
142,862,0,260,0.014991181657848324,3
143,874,0,240,0.010582010582010581,3
144,894,0,223,0.01763668430335097,3
145,909,0,207,0.014991181657848324,3
146,925,0,193,0.015873015873015872,3
147,938,1,173,0.014109347442680775,3
148,954,0,166,0.019400352733686066,3
149,966,0,155,0.012345679012345678,3
150,975,0,143,0.01146384479717813,3
151,954,25,131,0.04585537918871252,3
