,Quiescent,Active,Jailed,Speed of Rebellion Transmission,Seed
0,1134,0,0,0.0,3
1,1111,3,17,0.020282186948853614,3
2,1111,0,23,0.0026455026455026454,3
3,1111,0,23,0.0,3
4,1111,0,22,0.0,3
5,1111,0,23,0.0008818342151675485,3
6,1110,1,23,0.0008818342151675485,3
7,1110,0,24,0.001763668430335097,3
8,1110,0,22,0.0,3
9,1110,0,24,0.001763668430335097,3
10,1110,0,22,0.0,3
11,1108,3,23,0.003527336860670194,3
12,1015,73,45,0.082010582010582,3
13,729,312,90,0.25396825396825395,3
14,633,362,134,0.08818342151675485,3
15,633,318,177,0.005291005291005291,3
16,633,274,215,0.005291005291005291,3
17,633,238,253,0.012345679012345678,3
18,633,200,293,0.010582010582010581,3
19,637,154,328,0.009700176366843033,3
20,647,109,361,0.021164021164021163,3
21,658,67,395,0.019400352733686066,3
22,678,24,417,0.02821869488536155,3
23,700,1,414,0.02292768959435626,3
24,718,0,391,0.01675485008818342,3
25,741,0,372,0.02204585537918871,3
26,759,0,362,0.019400352733686066,3
27,771,1,337,0.01146384479717813,3
28,793,2,326,0.02204585537918871,3
29,804,0,307,0.01146384479717813,3
30,827,0,286,0.020282186948853614,3
31,845,0,267,0.018518518518518517,3
32,865,1,250,0.019400352733686066,3
33,882,1,230,0.015873015873015872,3
34,903,0,213,0.018518518518518517,3
35,918,0,203,0.015873015873015872,3
36,929,0,186,0.01146384479717813,3
37,947,0,172,0.01675485008818342,3
38,962,0,156,0.013227513227513227,3
39,978,0,140,0.014109347442680775,3
40,994,0,128,0.014109347442680775,3
41,1005,0,108,0.010582010582010581,3
42,1026,0,97,0.018518518518518517,3
43,1034,3,83,0.01146384479717813,3
44,1008,32,85,0.04585537918871252,3
45,859,144,112,0.14462081128747795,3
46,659,313,143,0.1966490299823633,3
47,633,309,179,0.04056437389770723,3
48,633,273,215,0.012345679012345678,3
49,633,236,248,0.01146384479717813,3
50,633,204,283,0.015873015873015872,3
51,633,169,316,0.013227513227513227,3
52,634,134,352,0.014991181657848324,3
53,644,88,388,0.021164021164021163,3
54,675,22,422,0.04056437389770723,3
55,696,0,425,0.020282186948853614,3
56,707,0,409,0.01146384479717813,3
57,721,1,401,0.01675485008818342,3
58,732,0,380,0.009700176366843033,3
59,753,0,364,0.019400352733686066,3
60,769,0,348,0.014991181657848324,3
61,784,0,334,0.014991181657848324,3
62,799,0,316,0.014109347442680775,3
63,817,0,295,0.01675485008818342,3
64,836,1,283,0.019400352733686066,3
65,850,0,263,0.012345679012345678,3
66,870,0,250,0.018518518518518517,3
67,883,0,237,0.012345679012345678,3
68,897,0,216,0.012345679012345678,3
69,918,0,195,0.018518518518518517,3
70,938,0,174,0.018518518518518517,3
71,959,1,151,0.019400352733686066,3
72,980,0,135,0.020282186948853614,3
73,999,0,121,0.01675485008818342,3
74,1011,1,104,0.012345679012345678,3
75,1028,0,84,0.015873015873015872,3
76,1049,0,73,0.019400352733686066,3
77,1060,0,60,0.010582010582010581,3
78,1071,0,52,0.012345679012345678,3
79,1080,0,43,0.009700176366843033,3
80,1089,0,33,0.009700176366843033,3
81,1098,0,29,0.010582010582010581,3
82,1103,0,27,0.006172839506172839,3
83,1104,0,26,0.005291005291005291,3
84,1107,1,23,0.003527336860670194,3
85,1102,8,23,0.008818342151675485,3
86,936,144,53,0.1472663139329806,3
87,663,368,96,0.24162257495590828,3
88,633,360,134,0.037037037037037035,3
89,633,319,178,0.007936507936507936,3
90,633,273,217,0.003527336860670194,3
91,633,234,257,0.009700176366843033,3
92,633,194,292,0.008818342151675485,3
93,633,159,335,0.013227513227513227,3
94,643,108,369,0.015873015873015872,3
95,656,61,404,0.026455026455026454,3
96,681,6,420,0.030864197530864196,3
97,710,0,409,0.025573192239858905,3
98,724,0,385,0.013227513227513227,3
99,747,1,364,0.02204585537918871,3
100,767,0,355,0.019400352733686066,3
101,779,0,345,0.010582010582010581,3
102,788,0,326,0.008818342151675485,3
103,808,0,309,0.01763668430335097,3
104,822,1,294,0.015873015873015872,3
105,836,1,285,0.014991181657848324,3
106,848,0,275,0.010582010582010581,3
107,858,0,262,0.009700176366843033,3
108,870,0,241,0.012345679012345678,3
109,891,1,223,0.020282186948853614,3
110,909,0,199,0.01675485008818342,3
111,933,1,179,0.02292768959435626,3
112,954,0,165,0.018518518518518517,3
113,968,0,148,0.013227513227513227,3
114,985,1,129,0.015873015873015872,3
115,1004,0,114,0.01675485008818342,3
116,1018,0,96,0.014991181657848324,3
117,1036,1,81,0.01763668430335097,3
118,1050,0,66,0.014109347442680775,3
119,1066,0,55,0.015873015873015872,3
120,1079,0,43,0.01146384479717813,3
121,1090,0,35,0.010582010582010581,3
122,1098,0,28,0.007936507936507936,3
123,1104,0,25,0.007054673721340388,3
124,1107,0,24,0.005291005291005291,3
125,1108,0,24,0.0026455026455026454,3
126,1107,1,25,0.004409171075837742,3
127,1101,0,33,0.006172839506172839,3
128,1101,0,32,0.0,3
129,1096,3,34,0.005291005291005291,3
130,983,85,63,0.10052910052910052,3
131,722,302,103,0.23633156966490299,3
132,633,350,143,0.08641975308641975,3
133,633,309,183,0.007936507936507936,3
134,633,269,223,0.008818342151675485,3
135,633,228,267,0.007936507936507936,3
136,633,184,306,0.005291005291005291,3
137,633,145,341,0.009700176366843033,3
138,642,101,383,0.018518518518518517,3
139,653,49,419,0.025573192239858905,3
140,680,0,435,0.031746031746031744,3
141,697,1,420,0.01675485008818342,3
142,713,0,402,0.014109347442680775,3
143,730,1,390,0.01675485008818342,3
144,740,0,368,0.01146384479717813,3
145,766,0,353,0.02292768959435626,3
146,781,0,330,0.013227513227513227,3
147,803,1,307,0.020282186948853614,3
148,816,2,298,0.027336860670194002,3
149,831,1,282,0.015873015873015872,3
150,851,0,253,0.01763668430335097,3
151,881,0,231,0.026455026455026454,3
152,900,0,216,0.019400352733686066,3
153,917,0,204,0.015873015873015872,3
154,929,0,191,0.01146384479717813,3
155,938,2,176,0.01675485008818342,3
156,956,0,152,0.015873015873015872,3
157,956,16,150,0.03968253968253968,3
158,947,13,161,0.030864197530864196,3
159,953,2,159,0.024691358024691357,3
160,972,0,145,0.019400352733686066,3
161,988,0,125,0.014991181657848324,3
162,1007,0,111,0.018518518518518517,3
163,1020,0,100,0.014991181657848324,3
164,1034,0,91,0.012345679012345678,3
165,1026,12,85,0.021164021164021163,3
166,927,90,104,0.10493827160493827,3
167,765,217,137,0.15873015873015872,3
168,644,304,171,0.12257495590828923,3
169,633,281,212,0.023809523809523808,3
170,633,239,253,0.007054673721340388,3
171,633,198,299,0.007936507936507936,3
172,635,150,338,0.005291005291005291,3
173,645,101,379,0.021164021164021163,3
174,670,37,411,0.03439153439153439,3
175,690,5,414,0.02204585537918871,3
176,711,0,399,0.02204585537918871,3
177,733,0,378,0.021164021164021163,3
178,753,0,360,0.020282186948853614,3
179,773,0,345,0.018518518518518517,3
180,787,0,328,0.014991181657848324,3
181,805,0,311,0.01675485008818342,3
182,822,0,296,0.015873015873015872,3
183,837,1,281,0.014109347442680775,3
184,852,0,258,0.013227513227513227,3
185,875,0,241,0.021164021164021163,3
186,893,0,222,0.015873015873015872,3
187,909,0,207,0.01675485008818342,3
188,925,0,192,0.015873015873015872,3
189,942,0,174,0.014991181657848324,3
190,960,0,161,0.015873015873015872,3
191,973,0,145,0.01146384479717813,3
192,988,0,137,0.014991181657848324,3
193,996,0,126,0.007936507936507936,3
194,1002,5,109,0.014991181657848324,3
195,957,44,123,0.07142857142857142,3
196,872,95,147,0.09788359788359788,3
197,741,196,173,0.14109347442680775,3
198,635,277,204,0.11728395061728394,3
199,633,248,236,0.018518518518518517,3
200,633,215,264,0.014991181657848324,3
201,633,188,294,0.020282186948853614,3
202,635,156,322,0.019400352733686066,3
203,643,120,354,0.027336860670194002,3
204,656,74,393,0.023809523809523808,3
205,678,18,420,0.0291005291005291,3
206,704,0,410,0.023809523809523808,3
207,723,0,399,0.01763668430335097,3
208,735,0,378,0.010582010582010581,3
209,752,0,367,0.019400352733686066,3
210,765,0,350,0.013227513227513227,3
211,783,0,339,0.01675485008818342,3
212,795,0,313,0.010582010582010581,3
213,819,0,299,0.02292768959435626,3
214,834,0,278,0.014109347442680775,3
215,855,0,255,0.019400352733686066,3
216,877,2,238,0.021164021164021163,3
217,892,0,227,0.015873015873015872,3
218,907,0,203,0.013227513227513227,3
219,930,0,190,0.021164021164021163,3
220,944,0,178,0.012345679012345678,3
221,954,0,163,0.010582010582010581,3
222,970,0,149,0.014991181657848324,3
223,982,1,126,0.014109347442680775,3
224,1006,0,111,0.02204585537918871,3
225,1022,0,97,0.014991181657848324,3
226,1036,1,78,0.013227513227513227,3
227,1053,0,73,0.01675485008818342,3
228,1060,0,65,0.007054673721340388,3
229,1068,0,53,0.007936507936507936,3
230,1078,0,40,0.01146384479717813,3
231,1092,2,31,0.014109347442680775,3
232,1099,0,24,0.007936507936507936,3
233,1107,0,24,0.009700176366843033,3
234,1110,0,20,0.0026455026455026454,3
235,1110,0,22,0.003527336860670194,3
236,1110,0,23,0.001763668430335097,3
237,1110,0,22,0.0008818342151675485,3
238,1110,0,24,0.001763668430335097,3
239,1110,0,22,0.0,3
240,1110,1,23,0.001763668430335097,3
241,1110,0,23,0.0,3
242,1110,1,22,0.0008818342151675485,3
243,1110,0,24,0.0008818342151675485,3
244,1110,0,23,0.0,3
245,1110,0,23,0.0008818342151675485,3
246,1110,0,24,0.0008818342151675485,3
247,1110,0,24,0.0,3
248,1110,0,23,0.0,3
249,1110,0,20,0.0008818342151675485,3
250,1109,0,25,0.004409171075837742,3
251,1109,0,23,0.0,3
252,1109,1,22,0.001763668430335097,3
253,1110,0,22,0.001763668430335097,3
254,1110,0,23,0.001763668430335097,3
255,1110,0,21,0.0008818342151675485,3
256,1110,0,23,0.0026455026455026454,3
257,1110,0,22,0.0008818342151675485,3
258,1110,1,23,0.001763668430335097,3
259,1110,0,22,0.0,3
260,1109,0,23,0.0026455026455026454,3
261,1110,0,22,0.001763668430335097,3
262,1110,1,21,0.001763668430335097,3
263,1106,0,27,0.005291005291005291,3
264,1106,0,28,0.0008818342151675485,3
265,1102,0,30,0.003527336860670194,3
266,1100,0,31,0.003527336860670194,3
267,1100,1,31,0.0026455026455026454,3
268,1101,1,31,0.001763668430335097,3
269,1101,0,32,0.0008818342151675485,3
270,1101,0,31,0.0008818342151675485,3
271,1102,0,31,0.001763668430335097,3
272,1102,0,29,0.0008818342151675485,3
273,1102,0,32,0.0026455026455026454,3
274,1102,0,29,0.0,3
275,1102,1,29,0.0026455026455026454,3
276,1102,0,32,0.001763668430335097,3
277,1102,0,32,0.0,3
278,1102,0,30,0.0,3
279,1103,0,29,0.001763668430335097,3
280,1105,0,23,0.001763668430335097,3
281,1104,4,25,0.006172839506172839,3
282,1105,0,28,0.001763668430335097,3
283,1105,0,28,0.0008818342151675485,3
284,1105,0,27,0.0008818342151675485,3
285,1106,0,27,0.001763668430335097,3
286,1105,0,28,0.001763668430335097,3
287,1105,0,26,0.0008818342151675485,3
288,1105,0,24,0.0026455026455026454,3
289,1106,0,25,0.004409171075837742,3
290,1107,0,26,0.0026455026455026454,3
291,1107,0,23,0.0008818342151675485,3
292,1106,2,25,0.004409171075837742,3
293,1104,0,28,0.003527336860670194,3
294,1106,0,27,0.001763668430335097,3
295,1106,0,27,0.0008818342151675485,3
296,1107,0,25,0.0008818342151675485,3
297,1107,1,23,0.001763668430335097,3
298,1108,2,24,0.003527336860670194,3
299,1028,57,47,0.07054673721340388,3
300,745,296,88,0.25220458553791886,3
301,633,363,130,0.10317460317460317,3
302,633,321,173,0.007054673721340388,3
303,633,279,214,0.007054673721340388,3
304,633,237,257,0.007054673721340388,3
305,633,195,297,0.007054673721340388,3
306,633,155,335,0.008818342151675485,3
307,642,108,366,0.01763668430335097,3
308,651,67,400,0.030864197530864196,3
309,673,17,423,0.02821869488536155,3
310,695,0,419,0.02292768959435626,3
311,715,0,402,0.01763668430335097,3
312,732,0,382,0.014991181657848324,3
313,748,1,364,0.01763668430335097,3
314,766,0,345,0.018518518518518517,3
315,787,0,326,0.020282186948853614,3
316,806,0,305,0.018518518518518517,3
317,827,1,282,0.020282186948853614,3
318,848,0,270,0.02204585537918871,3
319,863,0,259,0.014109347442680775,3
320,874,0,242,0.010582010582010581,3
321,891,0,219,0.015873015873015872,3
322,913,0,212,0.021164021164021163,3
323,920,0,197,0.007936507936507936,3
324,936,0,178,0.015873015873015872,3
325,955,0,164,0.01763668430335097,3
326,968,0,143,0.014109347442680775,3
327,988,0,136,0.02204585537918871,3
328,997,0,121,0.008818342151675485,3
329,1012,0,108,0.014109347442680775,3
330,1025,0,95,0.012345679012345678,3
331,1032,5,87,0.018518518518518517,3
332,1001,20,103,0.04585537918871252,3
333,1012,1,104,0.018518518518518517,3
334,1027,1,96,0.014991181657848324,3
335,1035,1,90,0.008818342151675485,3
336,1042,0,81,0.007054673721340388,3
337,1053,0,71,0.009700176366843033,3
338,1062,0,68,0.008818342151675485,3
339,1065,0,61,0.003527336860670194,3
340,1070,2,56,0.007054673721340388,3
341,1074,0,56,0.005291005291005291,3
342,1075,1,53,0.003527336860670194,3
343,1079,0,52,0.004409171075837742,3
344,1080,0,53,0.003527336860670194,3
345,1080,0,51,0.0008818342151675485,3
346,1082,0,48,0.0026455026455026454,3
347,1085,0,43,0.003527336860670194,3
348,1088,0,44,0.005291005291005291,3
349,1088,0,42,0.001763668430335097,3
350,1090,0,42,0.003527336860670194,3
351,1092,0,40,0.001763668430335097,3
352,1094,0,36,0.001763668430335097,3
353,1062,23,48,0.03262786596119929,3
354,903,137,90,0.14109347442680775,3
355,668,326,132,0.21252204585537918,3
356,633,319,172,0.03791887125220458,3
357,633,280,209,0.009700176366843033,3
358,633,243,243,0.01146384479717813,3
359,633,208,283,0.013227513227513227,3
360,637,164,321,0.012345679012345678,3
361,640,123,352,0.020282186948853614,3
362,667,66,385,0.03350970017636684,3
363,688,17,413,0.026455026455026454,3
364,706,1,403,0.019400352733686066,3
365,724,2,391,0.02204585537918871,3
366,740,0,377,0.014991181657848324,3
367,757,0,365,0.014991181657848324,3
368,769,0,347,0.010582010582010581,3
369,787,0,335,0.015873015873015872,3
370,795,1,324,0.010582010582010581,3
371,808,1,309,0.012345679012345678,3
372,821,0,301,0.014109347442680775,3
373,833,0,280,0.010582010582010581,3
374,850,1,263,0.018518518518518517,3
375,869,0,246,0.01763668430335097,3
376,888,0,225,0.01675485008818342,3
377,908,0,209,0.018518518518518517,3
378,922,2,188,0.014991181657848324,3
379,943,0,175,0.019400352733686066,3
380,958,0,157,0.014109347442680775,3
381,975,0,143,0.01675485008818342,3
382,991,0,128,0.014109347442680775,3
383,1005,0,103,0.013227513227513227,3
384,1029,0,88,0.02292768959435626,3
385,1043,0,74,0.014991181657848324,3
386,1060,0,62,0.014991181657848324,3
387,1069,0,52,0.010582010582010581,3
388,1079,1,48,0.01146384479717813,3
389,1085,0,42,0.005291005291005291,3
390,1092,0,31,0.006172839506172839,3
391,1102,1,24,0.010582010582010581,3
392,1106,0,23,0.006172839506172839,3
393,1110,0,23,0.004409171075837742,3
394,1110,0,21,0.0008818342151675485,3
395,1110,0,23,0.0026455026455026454,3
396,1110,0,22,0.0008818342151675485,3
397,1111,0,22,0.001763668430335097,3
398,1111,1,20,0.0008818342151675485,3
399,1111,1,21,0.001763668430335097,3
400,1111,1,22,0.001763668430335097,3
401,1111,0,18,0.0,3
402,1111,0,20,0.004409171075837742,3
403,1111,0,21,0.0026455026455026454,3
404,1072,31,31,0.036155202821869487,3
405,861,195,75,0.19047619047619047,3
406,645,365,121,0.19400352733686066,3
407,633,332,166,0.014991181657848324,3
408,633,285,212,0.0026455026455026454,3
409,633,240,255,0.004409171075837742,3
410,633,196,296,0.005291005291005291,3
411,634,154,336,0.008818342151675485,3
412,638,111,371,0.014109347442680775,3
413,654,60,395,0.030864197530864196,3
414,680,15,419,0.03527336860670194,3
415,702,1,411,0.021164021164021163,3
416,721,0,394,0.01763668430335097,3
417,738,1,378,0.01675485008818342,3
418,755,0,366,0.014991181657848324,3
419,766,2,348,0.01146384479717813,3
420,781,1,330,0.018518518518518517,3
421,801,1,310,0.020282186948853614,3
422,820,1,299,0.019400352733686066,3
423,833,0,287,0.012345679012345678,3
424,846,0,271,0.012345679012345678,3
425,862,0,253,0.014991181657848324,3
426,880,0,225,0.01675485008818342,3
427,902,2,214,0.025573192239858905,3
428,916,1,195,0.014109347442680775,3
429,937,0,175,0.019400352733686066,3
430,956,1,162,0.019400352733686066,3
431,971,0,152,0.013227513227513227,3
432,982,0,134,0.009700176366843033,3
433,999,1,121,0.015873015873015872,3
434,1011,1,103,0.01146384479717813,3
435,1030,0,92,0.01675485008818342,3
436,1042,0,72,0.010582010582010581,3
437,1061,0,66,0.01763668430335097,3
438,1068,0,55,0.006172839506172839,3
439,1075,1,49,0.009700176366843033,3
440,1084,0,40,0.007936507936507936,3
441,1090,1,30,0.008818342151675485,3
442,1103,0,25,0.01146384479717813,3
443,1070,26,34,0.03791887125220458,3
444,944,116,67,0.12169312169312169,3
445,670,347,114,0.25132275132275134,3
446,633,337,155,0.03527336860670194,3
447,633,296,197,0.007936507936507936,3
448,633,254,238,0.007054673721340388,3
449,633,214,276,0.008818342151675485,3
450,633,176,311,0.010582010582010581,3
451,635,139,347,0.014991181657848324,3
452,640,98,380,0.01763668430335097,3
453,659,47,416,0.029982363315696647,3
454,675,11,426,0.019400352733686066,3
455,697,0,415,0.021164021164021163,3
456,718,0,403,0.019400352733686066,3
457,731,0,390,0.01146384479717813,3
458,744,0,375,0.01146384479717813,3
459,756,1,363,0.013227513227513227,3
460,768,0,345,0.012345679012345678,3
461,788,0,320,0.018518518518518517,3
462,812,0,308,0.02292768959435626,3
463,825,1,291,0.013227513227513227,3
464,838,1,278,0.01675485008818342,3
465,855,0,257,0.014991181657848324,3
466,875,1,234,0.019400352733686066,3
467,898,0,221,0.021164021164021163,3
468,913,0,208,0.013227513227513227,3
469,926,0,193,0.01146384479717813,3
470,939,0,174,0.014109347442680775,3
471,959,1,155,0.018518518518518517,3
472,962,7,143,0.027336860670194002,3
473,972,7,142,0.0291005291005291,3
474,987,0,120,0.013227513227513227,3
475,1012,0,100,0.023809523809523808,3
476,1030,0,93,0.019400352733686066,3
477,1041,0,79,0.009700176366843033,3
478,1051,0,66,0.012345679012345678,3
479,1067,0,60,0.014991181657848324,3
480,1073,0,49,0.006172839506172839,3
481,1081,0,48,0.012345679012345678,3
482,1084,0,43,0.004409171075837742,3
483,1089,1,40,0.007054673721340388,3
484,1091,0,39,0.003527336860670194,3
485,1093,0,38,0.003527336860670194,3
486,1094,0,34,0.0026455026455026454,3
487,1096,1,36,0.005291005291005291,3
488,1097,0,37,0.0008818342151675485,3
489,1097,0,36,0.0,3
490,1098,0,32,0.0008818342151675485,3
491,1100,0,31,0.003527336860670194,3
492,1101,0,31,0.0026455026455026454,3
493,1102,0,29,0.001763668430335097,3
494,1104,0,27,0.0026455026455026454,3
495,1083,19,30,0.02204585537918871,3
496,984,87,63,0.09700176366843033,3
497,754,270,104,0.2072310405643739,3
498,633,349,141,0.11375661375661375,3
499,633,311,188,0.010582010582010581,3
500,633,264,227,0.0026455026455026454,3
