,Quiescent,Active,Jailed,Speed of Rebellion Transmission,Seed
0,1137,0,0,0.0,4
1,1118,5,13,0.016710642040457344,4
2,1081,30,26,0.03342128408091469,4
3,859,206,67,0.19700967458223395,4
4,619,401,115,0.2154793315743184,4
5,619,353,157,0.001759014951627089,4
6,619,311,206,0.007036059806508356,4
7,619,264,249,0.002638522427440633,4
8,619,219,287,0.0043975373790677225,4
9,619,183,324,0.012313104661389622,4
10,620,143,362,0.010554089709762533,4
11,626,99,403,0.01759014951627089,4
12,644,43,428,0.020228671943711522,4
13,669,6,441,0.029023746701846966,4
14,691,0,426,0.019349164467897976,4
15,709,0,414,0.01759014951627089,4
16,722,0,395,0.012313104661389622,4
17,742,0,372,0.01759014951627089,4
18,765,0,358,0.020228671943711522,4
19,778,0,331,0.012313104661389622,4
20,804,0,314,0.024626209322779244,4
21,822,0,297,0.016710642040457344,4
22,838,0,277,0.0158311345646438,4
23,860,0,264,0.019349164467897976,4
24,873,0,236,0.011433597185576077,4
25,898,1,220,0.024626209322779244,4
26,914,1,204,0.0158311345646438,4
27,931,0,192,0.0158311345646438,4
28,943,0,181,0.012313104661389622,4
29,956,0,163,0.011433597185576077,4
30,973,0,145,0.0158311345646438,4
31,990,0,137,0.016710642040457344,4
32,999,0,122,0.008795074758135445,4
33,1014,0,103,0.014072119613016711,4
34,1032,2,89,0.01759014951627089,4
35,1045,0,70,0.012313104661389622,4
36,1066,0,61,0.019349164467897976,4
37,1072,3,53,0.011433597185576077,4
38,1038,23,59,0.04573438874230431,4
39,920,121,84,0.13192612137203166,4
40,645,358,123,0.2559366754617414,4
41,619,345,168,0.032541776605101144,4
42,619,301,209,0.005277044854881266,4
43,619,259,251,0.007036059806508356,4
44,619,218,290,0.0079155672823219,4
45,619,179,331,0.009674582233948988,4
46,619,138,366,0.0079155672823219,4
47,629,93,401,0.021108179419525065,4
48,663,27,432,0.03430079155672823,4
49,685,0,434,0.021108179419525065,4
50,703,0,411,0.0158311345646438,4
51,722,1,391,0.020228671943711522,4
52,743,0,374,0.020228671943711522,4
53,763,0,352,0.01759014951627089,4
54,785,0,330,0.019349164467897976,4
55,806,0,314,0.019349164467897976,4
56,822,0,302,0.0158311345646438,4
57,832,0,281,0.012313104661389622,4
58,853,0,267,0.021108179419525065,4
59,869,0,249,0.014951627088830254,4
60,887,0,234,0.016710642040457344,4
61,903,0,218,0.014072119613016711,4
62,919,0,192,0.014072119613016711,4
63,942,0,173,0.022867194371152155,4
64,960,0,157,0.02198768689533861,4
65,977,0,144,0.019349164467897976,4
66,992,0,126,0.014072119613016711,4
67,1009,0,113,0.016710642040457344,4
68,1023,1,97,0.013192612137203167,4
69,1039,0,86,0.014072119613016711,4
70,1050,0,71,0.010554089709762533,4
71,1048,15,60,0.028144239226033423,4
72,924,113,96,0.1310466138962181,4
73,696,296,132,0.20668425681618294,4
74,619,337,166,0.08003518029903255,4
75,619,302,202,0.013192612137203167,4
76,619,269,239,0.014951627088830254,4
77,619,230,278,0.009674582233948988,4
78,619,190,309,0.008795074758135445,4
79,620,159,342,0.018469656992084433,4
80,632,116,372,0.025505716798592787,4
81,644,72,407,0.024626209322779244,4
82,662,32,421,0.032541776605101144,4
83,683,11,422,0.02198768689533861,4
84,704,1,414,0.02198768689533861,4
85,720,0,402,0.0158311345646438,4
86,734,0,389,0.013192612137203167,4
87,748,0,371,0.012313104661389622,4
88,766,0,354,0.0158311345646438,4
89,782,0,335,0.014951627088830254,4
90,801,0,318,0.01759014951627089,4
91,818,0,298,0.0158311345646438,4
92,838,0,276,0.018469656992084433,4
93,860,1,263,0.020228671943711522,4
94,872,0,248,0.011433597185576077,4
95,888,0,230,0.014951627088830254,4
96,907,0,211,0.016710642040457344,4
97,924,0,188,0.016710642040457344,4
98,947,0,171,0.02198768689533861,4
99,966,0,154,0.016710642040457344,4
100,980,0,139,0.014951627088830254,4
101,997,0,122,0.0158311345646438,4
102,1011,3,102,0.0158311345646438,4
103,1032,0,90,0.018469656992084433,4
104,1046,0,75,0.013192612137203167,4
105,1062,0,63,0.014072119613016711,4
106,1072,0,51,0.010554089709762533,4
107,1082,1,38,0.012313104661389622,4
108,1098,0,29,0.014072119613016711,4
109,1106,0,24,0.008795074758135445,4
110,1111,0,22,0.006156552330694811,4
111,1114,0,19,0.003518029903254178,4
112,1118,0,18,0.003518029903254178,4
113,1117,1,19,0.001759014951627089,4
114,1115,0,20,0.001759014951627089,4
115,1112,0,25,0.0043975373790677225,4
116,1099,9,26,0.011433597185576077,4
117,855,214,65,0.21723834652594548,4
118,628,394,108,0.2022867194371152,4
119,619,360,152,0.014072119613016711,4
120,619,317,192,0.006156552330694811,4
121,619,276,234,0.0079155672823219,4
122,619,235,274,0.0079155672823219,4
123,620,194,309,0.009674582233948988,4
124,619,162,341,0.0158311345646438,4
125,620,128,372,0.0158311345646438,4
126,636,79,409,0.025505716798592787,4
127,652,29,441,0.029023746701846966,4
128,669,0,442,0.01759014951627089,4
129,694,0,429,0.022867194371152155,4
130,708,0,407,0.012313104661389622,4
131,726,0,386,0.019349164467897976,4
132,748,0,368,0.02198768689533861,4
133,768,0,354,0.018469656992084433,4
134,781,0,340,0.013192612137203167,4
135,796,0,321,0.014072119613016711,4
136,816,0,297,0.01759014951627089,4
137,837,0,283,0.021108179419525065,4
138,853,1,260,0.014951627088830254,4
139,873,0,243,0.022867194371152155,4
140,893,1,218,0.018469656992084433,4
141,916,1,197,0.02198768689533861,4
142,936,1,179,0.020228671943711522,4
143,956,0,163,0.018469656992084433,4
144,974,0,151,0.0158311345646438,4
145,985,0,130,0.010554089709762533,4
146,1006,0,110,0.019349164467897976,4
147,1027,0,93,0.018469656992084433,4
148,1041,0,83,0.014951627088830254,4
149,1054,0,68,0.011433597185576077,4
150,1069,0,61,0.013192612137203167,4
151,1076,0,51,0.006156552330694811,4
152,1084,0,48,0.008795074758135445,4
153,1089,0,36,0.0043975373790677225,4
154,1099,0,34,0.010554089709762533,4
155,1103,0,25,0.003518029903254178,4
156,1105,3,21,0.013192612137203167,4
