,Quiescent,Active,Jailed,Speed of Rebellion Transmission,Seed
0,1134,0,0,0.0,3
1,1111,6,17,0.020282186948853614,3
2,1111,0,20,0.0008818342151675485,3
3,1111,0,21,0.0026455026455026454,3
4,1111,1,20,0.001763668430335097,3
5,1111,0,22,0.001763668430335097,3
6,1111,0,23,0.0008818342151675485,3
7,1107,2,24,0.003527336860670194,3
8,1106,2,25,0.004409171075837742,3
9,1049,37,48,0.054673721340388004,3
10,809,228,93,0.21164021164021163,3
11,633,358,136,0.15873015873015872,3
12,633,315,182,0.006172839506172839,3
13,633,270,220,0.004409171075837742,3
14,633,234,259,0.012345679012345678,3
15,633,193,302,0.007936507936507936,3
16,636,147,335,0.007936507936507936,3
17,652,98,372,0.025573192239858905,3
18,668,49,404,0.026455026455026454,3
19,689,13,407,0.023809523809523808,3
20,714,2,392,0.023809523809523808,3
21,738,0,380,0.02292768959435626,3
22,752,0,367,0.014109347442680775,3
23,766,0,348,0.013227513227513227,3
24,785,0,334,0.01763668430335097,3
25,799,0,322,0.013227513227513227,3
26,810,0,311,0.01146384479717813,3
27,822,0,291,0.01146384479717813,3
28,841,0,274,0.018518518518518517,3
29,858,0,262,0.01675485008818342,3
30,871,0,242,0.012345679012345678,3
31,889,0,231,0.018518518518518517,3
32,900,0,220,0.012345679012345678,3
33,914,0,199,0.012345679012345678,3
34,934,0,179,0.018518518518518517,3
35,953,0,161,0.018518518518518517,3
36,972,0,144,0.01763668430335097,3
37,988,0,127,0.01675485008818342,3
38,1003,0,109,0.01675485008818342,3
39,1024,0,94,0.019400352733686066,3
40,1037,1,80,0.014109347442680775,3
41,1052,0,62,0.014109347442680775,3
42,1071,0,55,0.01763668430335097,3
43,1079,0,39,0.007054673721340388,3
44,1094,1,30,0.014109347442680775,3
45,1099,0,31,0.008818342151675485,3
46,1101,0,28,0.003527336860670194,3
47,1105,0,26,0.004409171075837742,3
48,1106,0,24,0.0026455026455026454,3
49,1109,0,21,0.003527336860670194,3
50,1109,0,24,0.003527336860670194,3
51,1109,0,24,0.0008818342151675485,3
52,1109,0,24,0.0008818342151675485,3
53,1109,0,24,0.0008818342151675485,3
54,1110,0,23,0.0008818342151675485,3
55,1110,0,23,0.0008818342151675485,3
56,1107,2,24,0.003527336860670194,3
57,1048,45,38,0.05291005291005291,3
58,788,261,80,0.23192239858906524,3
59,633,372,124,0.1419753086419753,3
60,633,328,168,0.005291005291005291,3
61,633,283,207,0.004409171075837742,3
62,633,244,245,0.009700176366843033,3
63,633,207,282,0.01146384479717813,3
64,633,171,324,0.012345679012345678,3
65,647,114,359,0.018518518518518517,3
66,659,66,392,0.0291005291005291,3
67,680,21,408,0.029982363315696647,3
68,705,1,407,0.023809523809523808,3
69,725,0,395,0.018518518518518517,3
70,738,0,378,0.012345679012345678,3
71,756,0,362,0.015873015873015872,3
72,772,0,350,0.014109347442680775,3
73,782,0,339,0.010582010582010581,3
74,793,0,327,0.01146384479717813,3
75,807,0,305,0.012345679012345678,3
76,827,2,291,0.020282186948853614,3
77,840,0,276,0.012345679012345678,3
78,858,0,262,0.015873015873015872,3
79,869,0,247,0.012345679012345678,3
80,884,0,229,0.01763668430335097,3
81,902,1,209,0.018518518518518517,3
82,921,1,193,0.020282186948853614,3
83,938,2,175,0.01763668430335097,3
84,951,1,162,0.020282186948853614,3
85,965,1,147,0.021164021164021163,3
86,986,0,133,0.018518518518518517,3
87,1000,0,112,0.013227513227513227,3
88,1020,0,88,0.020282186948853614,3
89,1039,1,77,0.023809523809523808,3
90,1053,0,64,0.014991181657848324,3
91,1069,0,55,0.014991181657848324,3
92,1078,0,41,0.008818342151675485,3
93,1087,1,41,0.014109347442680775,3
94,1093,0,35,0.005291005291005291,3
95,1098,0,30,0.005291005291005291,3
96,1102,0,29,0.005291005291005291,3
97,1104,0,30,0.0026455026455026454,3
98,1104,0,29,0.0,3
99,1104,0,25,0.0008818342151675485,3
100,1106,0,27,0.004409171075837742,3
101,1106,1,26,0.0008818342151675485,3
102,1106,1,26,0.0008818342151675485,3
103,1051,45,35,0.05026455026455026,3
104,842,214,76,0.19223985890652556,3
105,636,372,125,0.18342151675485008,3
106,633,327,167,0.004409171075837742,3
107,633,285,206,0.007054673721340388,3
108,633,246,247,0.009700176366843033,3
109,633,206,285,0.008818342151675485,3
110,633,167,324,0.009700176366843033,3
111,635,125,359,0.010582010582010581,3
112,638,87,393,0.01763668430335097,3
113,669,23,434,0.036155202821869487,3
114,677,1,434,0.012345679012345678,3
115,699,0,420,0.020282186948853614,3
116,714,0,413,0.013227513227513227,3
117,721,0,393,0.006172839506172839,3
118,738,0,370,0.01763668430335097,3
119,761,1,350,0.02292768959435626,3
120,776,1,344,0.02204585537918871,3
121,787,0,329,0.01146384479717813,3
122,805,0,310,0.015873015873015872,3
123,824,0,291,0.01675485008818342,3
124,840,2,278,0.01675485008818342,3
125,853,1,263,0.012345679012345678,3
