,Quiescent,Active,Jailed,Speed of Rebellion Transmission,Seed
0,1137,0,0,0.0,4
1,1118,3,16,0.016710642040457344,4
2,1118,0,17,0.0,4
3,1118,1,16,0.001759014951627089,4
4,1118,1,17,0.001759014951627089,4
5,1118,0,19,0.0008795074758135445,4
6,1118,0,18,0.0,4
7,1118,0,19,0.0008795074758135445,4
8,1118,0,18,0.0,4
9,1118,1,17,0.0008795074758135445,4
10,1118,0,19,0.0008795074758135445,4
11,1118,0,17,0.0,4
12,1093,14,29,0.023746701846965697,4
13,872,196,65,0.1961301671064204,4
14,621,401,110,0.2260334212840809,4
15,619,359,154,0.007036059806508356,4
16,619,315,198,0.005277044854881266,4
17,619,270,232,0.0043975373790677225,4
18,619,237,270,0.014951627088830254,4
19,619,200,304,0.011433597185576077,4
20,619,165,337,0.013192612137203167,4
21,619,131,378,0.014072119613016711,4
22,625,85,413,0.014072119613016711,4
23,642,32,447,0.025505716798592787,4
24,663,1,450,0.022867194371152155,4
25,684,0,438,0.020228671943711522,4
26,698,0,421,0.013192612137203167,4
27,713,0,404,0.0158311345646438,4
28,732,0,396,0.01759014951627089,4
29,739,2,375,0.0079155672823219,4
30,760,0,355,0.018469656992084433,4
31,780,0,346,0.019349164467897976,4
32,790,0,330,0.009674582233948988,4
33,805,0,322,0.014951627088830254,4
34,814,0,298,0.008795074758135445,4
35,839,0,280,0.02198768689533861,4
36,855,0,258,0.0158311345646438,4
37,879,0,240,0.021108179419525065,4
38,897,0,230,0.0158311345646438,4
39,907,0,210,0.008795074758135445,4
40,926,0,187,0.01759014951627089,4
41,950,0,161,0.021108179419525065,4
42,974,0,134,0.022867194371152155,4
43,1003,0,116,0.025505716798592787,4
44,1020,0,96,0.0158311345646438,4
45,1039,2,78,0.020228671943711522,4
46,1045,0,78,0.024626209322779244,4
47,1058,0,68,0.012313104661389622,4
48,1069,0,57,0.009674582233948988,4
49,1079,0,52,0.009674582233948988,4
50,1058,19,46,0.027264731750219876,4
51,898,156,76,0.1644678979771328,4
52,635,377,118,0.23834652594547054,4
53,619,351,158,0.021108179419525065,4
54,619,311,195,0.008795074758135445,4
55,619,275,235,0.012313104661389622,4
56,619,237,269,0.010554089709762533,4
57,619,200,313,0.011433597185576077,4
58,619,156,349,0.005277044854881266,4
59,621,120,379,0.014951627088830254,4
60,632,76,415,0.022867194371152155,4
61,652,26,444,0.0316622691292876,4
62,674,0,442,0.019349164467897976,4
