,Quiescent,Active,Jailed,Speed of Rebellion Transmission,Seed
0,1156,0,0,0.0,8
1,1133,3,19,0.019896193771626297,8
2,1133,0,21,0.0008650519031141869,8
3,1133,0,23,0.0017301038062283738,8
4,1133,0,23,0.0,8
5,1133,0,23,0.0,8
6,1133,0,20,0.0,8
7,1133,0,19,0.0025951557093425604,8
8,1133,0,22,0.0034602076124567475,8
9,1133,0,22,0.0008650519031141869,8
10,1133,0,23,0.0008650519031141869,8
11,1133,0,23,0.0,8
12,1133,0,22,0.0,8
13,1133,0,22,0.0008650519031141869,8
14,1133,0,23,0.0008650519031141869,8
15,1133,0,22,0.0,8
16,1133,0,23,0.0008650519031141869,8
17,1133,0,22,0.0,8
18,1133,0,21,0.0008650519031141869,8
19,1133,1,20,0.0017301038062283738,8
20,1133,0,21,0.0017301038062283738,8
21,1133,0,19,0.0017301038062283738,8
22,1132,2,20,0.004325259515570935,8
23,1133,0,22,0.0025951557093425604,8
24,1133,0,23,0.0008650519031141869,8
25,1133,0,22,0.0,8
26,1133,0,23,0.0008650519031141869,8
27,1133,0,22,0.0,8
28,1133,1,21,0.0008650519031141869,8
29,1133,0,21,0.0008650519031141869,8
30,1133,0,21,0.0017301038062283738,8
31,1133,0,21,0.0017301038062283738,8
32,1133,0,23,0.0017301038062283738,8
33,1133,0,23,0.0,8
34,1133,0,22,0.0,8
35,1133,1,21,0.0008650519031141869,8
36,1132,0,22,0.0017301038062283738,8
37,1110,17,28,0.020761245674740483,8
38,854,223,77,0.222318339100346,8
39,634,387,133,0.19290657439446368,8
40,634,330,183,0.0017301038062283738,8
41,634,282,231,0.009515570934256055,8
42,634,234,281,0.009515570934256055,8
43,636,181,326,0.00865051903114187,8
44,638,133,372,0.01384083044982699,8
45,644,81,416,0.01643598615916955,8
46,665,22,450,0.02422145328719723,8
47,686,0,457,0.01903114186851211,8
48,696,0,444,0.01124567474048443,8
49,710,0,431,0.01384083044982699,8
50,724,0,414,0.012975778546712802,8
51,742,0,394,0.015570934256055362,8
52,758,1,380,0.01730103806228374,8
53,774,0,366,0.014705882352941176,8
54,790,0,352,0.01384083044982699,8
55,804,0,325,0.012110726643598616,8
56,831,0,304,0.023356401384083045,8
57,851,0,286,0.018166089965397925,8
58,870,0,258,0.01643598615916955,8
59,897,0,244,0.02422145328719723,8
60,912,0,229,0.012975778546712802,8
61,927,0,215,0.012975778546712802,8
62,940,0,202,0.012110726643598616,8
63,954,0,184,0.012110726643598616,8
64,971,0,163,0.015570934256055362,8
65,993,0,150,0.01903114186851211,8
66,1006,0,126,0.01124567474048443,8
67,1029,0,112,0.02162629757785467,8
68,1042,0,91,0.012975778546712802,8
69,1063,0,71,0.019896193771626297,8
70,1083,0,58,0.01903114186851211,8
71,1098,0,50,0.012975778546712802,8
72,1106,0,37,0.006920415224913495,8
73,1116,2,31,0.01124567474048443,8
74,1122,0,23,0.006055363321799308,8
75,1128,0,23,0.009515570934256055,8
76,1130,0,22,0.004325259515570935,8
77,1132,0,23,0.0034602076124567475,8
78,1132,0,22,0.0008650519031141869,8
79,1131,0,25,0.0025951557093425604,8
80,1131,0,24,0.0,8
81,1131,0,24,0.0008650519031141869,8
82,1131,0,24,0.0008650519031141869,8
83,1131,0,23,0.0008650519031141869,8
84,1131,0,25,0.0017301038062283738,8
85,1131,0,23,0.0,8
