,Quiescent,Active,Jailed,Speed of Rebellion Transmission,Seed
0,1137,0,0,0.0,4
1,1118,3,16,0.016710642040457344,4
2,1118,0,17,0.0,4
3,1118,1,16,0.001759014951627089,4
4,1118,1,17,0.001759014951627089,4
5,1118,0,19,0.0008795074758135445,4
6,1118,0,18,0.0,4
7,1118,0,19,0.0008795074758135445,4
8,1118,0,18,0.0,4
9,1118,1,17,0.0008795074758135445,4
10,1118,0,19,0.0008795074758135445,4
11,1118,0,17,0.0,4
12,1106,5,25,0.012313104661389622,4
13,1099,2,35,0.008795074758135445,4
14,1095,2,37,0.006156552330694811,4
15,1097,0,39,0.002638522427440633,4
16,1090,7,38,0.007036059806508356,4
17,1014,63,58,0.07036059806508356,4
18,803,227,101,0.18909410729991205,4
19,625,361,140,0.16358839050131926,4
20,619,329,184,0.0158311345646438,4
21,619,285,222,0.005277044854881266,4
22,619,249,255,0.012313104661389622,4
23,619,214,282,0.013192612137203167,4
24,619,186,316,0.019349164467897976,4
25,626,146,351,0.020228671943711522,4
26,648,90,379,0.03430079155672823,4
27,688,24,411,0.044854881266490766,4
28,705,3,417,0.019349164467897976,4
29,715,0,408,0.010554089709762533,4
30,728,1,387,0.012313104661389622,4
31,748,0,363,0.018469656992084433,4
32,771,0,351,0.022867194371152155,4
33,783,0,332,0.014951627088830254,4
34,803,0,322,0.019349164467897976,4
35,815,0,307,0.010554089709762533,4
36,829,0,294,0.013192612137203167,4
37,843,0,276,0.012313104661389622,4
38,861,0,263,0.0158311345646438,4
39,874,0,242,0.011433597185576077,4
40,893,0,216,0.018469656992084433,4
41,920,0,195,0.024626209322779244,4
42,942,0,178,0.019349164467897976,4
43,959,0,165,0.014951627088830254,4
44,971,0,147,0.011433597185576077,4
45,989,0,140,0.016710642040457344,4
46,996,0,136,0.007036059806508356,4
47,996,0,123,0.008795074758135445,4
48,1014,0,99,0.0158311345646438,4
49,1034,1,83,0.022867194371152155,4
50,1052,0,69,0.016710642040457344,4
51,1066,1,59,0.014072119613016711,4
52,1073,0,47,0.010554089709762533,4
53,1089,0,38,0.014951627088830254,4
54,1097,0,29,0.009674582233948988,4
55,1105,1,26,0.009674582233948988,4
56,1108,1,23,0.0043975373790677225,4
57,1111,0,24,0.0043975373790677225,4
58,1113,0,22,0.001759014951627089,4
59,1102,11,23,0.011433597185576077,4
60,986,98,48,0.10290237467018469,4
61,741,298,92,0.2198768689533861,4
