,Quiescent,Active,Jailed,Speed of Rebellion Transmission,Seed
0,1137,0,0,0.0,4
1,1117,5,15,0.01759014951627089,4
2,1117,0,19,0.0,4
3,1116,2,19,0.001759014951627089,4
4,974,111,52,0.1248900615655233,4
5,640,395,97,0.297273526824978,4
6,619,372,143,0.023746701846965697,4
7,619,326,186,0.003518029903254178,4
8,619,282,229,0.005277044854881266,4
9,619,239,269,0.006156552330694811,4
10,619,201,311,0.010554089709762533,4
11,619,159,345,0.007036059806508356,4
12,619,123,377,0.012313104661389622,4
13,622,89,405,0.019349164467897976,4
14,644,40,433,0.030782761653474055,4
15,659,4,449,0.028144239226033423,4
16,681,2,436,0.02198768689533861,4
17,699,0,419,0.0158311345646438,4
18,714,0,399,0.016710642040457344,4
19,737,0,387,0.021108179419525065,4
20,749,1,368,0.011433597185576077,4
21,767,0,359,0.01759014951627089,4
22,778,0,342,0.009674582233948988,4
23,792,0,326,0.014951627088830254,4
24,810,0,312,0.016710642040457344,4
25,823,0,291,0.013192612137203167,4
26,843,0,268,0.020228671943711522,4
27,869,0,245,0.022867194371152155,4
28,890,0,225,0.020228671943711522,4
29,912,0,204,0.019349164467897976,4
30,932,0,189,0.019349164467897976,4
31,947,0,167,0.014072119613016711,4
32,969,0,146,0.020228671943711522,4
33,990,0,117,0.019349164467897976,4
34,1018,0,99,0.028144239226033423,4
35,986,37,100,0.05980650835532102,4
36,734,257,135,0.23746701846965698,4
37,619,335,170,0.11257695690413369,4
38,619,298,201,0.011433597185576077,4
39,619,267,237,0.016710642040457344,4
40,619,231,266,0.012313104661389622,4
41,619,204,298,0.020228671943711522,4
42,619,170,328,0.014072119613016711,4
43,619,140,358,0.01759014951627089,4
44,619,110,386,0.01759014951627089,4
45,628,73,417,0.025505716798592787,4
46,644,26,456,0.025505716798592787,4
47,662,0,448,0.016710642040457344,4
48,689,0,426,0.023746701846965697,4
49,710,0,413,0.019349164467897976,4
50,723,0,397,0.012313104661389622,4
51,739,0,376,0.014951627088830254,4
52,760,0,361,0.019349164467897976,4
53,775,1,342,0.014072119613016711,4
54,791,1,334,0.01759014951627089,4
55,798,0,322,0.011433597185576077,4
56,814,0,307,0.014951627088830254,4
57,829,0,289,0.014072119613016711,4
58,847,0,259,0.016710642040457344,4
59,878,0,237,0.027264731750219876,4
60,897,0,221,0.019349164467897976,4
61,911,0,208,0.019349164467897976,4
62,925,0,198,0.01759014951627089,4
63,938,1,183,0.012313104661389622,4
64,951,0,174,0.013192612137203167,4
65,963,0,148,0.010554089709762533,4
66,987,0,125,0.022867194371152155,4
67,1012,0,102,0.02198768689533861,4
68,1033,0,80,0.020228671943711522,4
69,1056,0,68,0.021108179419525065,4
70,1069,0,55,0.011433597185576077,4
71,1079,0,53,0.012313104661389622,4
72,1084,0,43,0.0043975373790677225,4
73,1094,0,33,0.008795074758135445,4
74,1103,0,30,0.008795074758135445,4
75,1106,0,28,0.003518029903254178,4
76,1024,69,40,0.07651715039577836,4
77,704,344,82,0.2858399296394019,4
78,619,386,128,0.08091468777484609,4
79,619,340,165,0.003518029903254178,4
80,619,303,209,0.011433597185576077,4
81,619,262,246,0.0079155672823219,4
82,619,222,284,0.008795074758135445,4
83,619,184,319,0.010554089709762533,4
84,620,148,356,0.014072119613016711,4
85,619,112,387,0.012313104661389622,4
86,625,76,426,0.022867194371152155,4
87,643,20,459,0.022867194371152155,4
88,663,0,454,0.01759014951627089,4
89,683,0,429,0.01759014951627089,4
90,706,0,420,0.02198768689533861,4
91,717,0,392,0.009674582233948988,4
92,742,1,374,0.024626209322779244,4
93,760,0,357,0.01759014951627089,4
94,777,0,347,0.01759014951627089,4
95,788,0,330,0.011433597185576077,4
96,805,0,312,0.016710642040457344,4
97,825,0,297,0.01759014951627089,4
98,839,1,268,0.013192612137203167,4
99,866,0,257,0.025505716798592787,4
100,880,0,228,0.012313104661389622,4
101,909,0,208,0.025505716798592787,4
102,928,0,184,0.01759014951627089,4
103,951,0,166,0.02198768689533861,4
104,969,1,155,0.01759014951627089,4
105,981,0,141,0.010554089709762533,4
106,996,0,122,0.013192612137203167,4
107,1014,0,107,0.016710642040457344,4
108,1029,0,94,0.014072119613016711,4
109,1041,1,78,0.012313104661389622,4
110,1055,1,68,0.0158311345646438,4
111,1060,6,52,0.018469656992084433,4
112,865,185,69,0.1996481970096746,4
113,619,400,108,0.23306948109058928,4
114,619,361,146,0.009674582233948988,4
115,619,322,186,0.009674582233948988,4
116,619,283,227,0.009674582233948988,4
117,619,241,265,0.007036059806508356,4
118,619,203,297,0.010554089709762533,4
119,621,169,325,0.01759014951627089,4
